what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337644824
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337669888
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337671724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337673144
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1602337673149
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1602337673149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337680891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337721760
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337727373
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337749721
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337765023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337787902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337794216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337808079
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1602337808602
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1602337808685
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1602337808916
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337811078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337819558
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337820786
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337828793
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1602337828901
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1602337828911
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1602337829698
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1602337829707
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1602337829720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337835676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337836657
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1602337838913
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337848393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337858922
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1602337858940
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1602337860108
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1602337861545
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1602337863776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337866363
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337868932
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1602337870843
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1602337873225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337873911
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337881694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1602337884386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1602337885310
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1602337887476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337890362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337891491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602337907056
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602338779988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602338783805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1602338785195
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1602338785200
